,source,author,title,description,url,urlToImage,publishedAt,content,count,sentiment,datetime
0,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Scott Calvert, Nancy A. Youssef, Sadie Gurman","In Capitol Riot, Communications Between Agencies Hampered Forceful Response - The Wall Street Journal","<ol><li>In Capitol Riot, Communications Between Agencies Hampered Forceful Response  The Wall Street Journal
</li><li>Pentagon and DC officials trade barbs over handling of Capitol riot as Army considers giving weapons to National Guard  CNN
</li><li>Nation…",https://www.wsj.com/articles/in-capitol-riot-communications-between-agencies-hampered-forceful-response-11610242709,https://images.wsj.net/im-283177/social,2021-01-10T01:38:00Z,"WASHINGTONShortly after 1:30 p.m. Wednesday, Army Secretary Ryan McCarthy got the first of several calls from Washington, D.C., Mayor Muriel Bowser. Trump supporters were breaching the Capitol, overw… [+1297 chars]",1,-0.69225,2021-01-10
1,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Aruna Viswanatha, Sadie Gurman, Cameron McWhirter",WSJ News Exclusive | White House Forced Georgia U.S. Attorney to Resign,"White House officials pushed Atlanta's top federal prosecutor to resign before Georgia's U.S. Senate runoffs because President Trump was upset he wasn't doing enough to investigate the president's allegations of election fraud, people familiar with the matter…",https://www.wsj.com/articles/white-house-forced-georgia-u-s-attorney-to-resign-11610225840,https://images.wsj.net/im-283165/social,2021-01-09T22:40:02Z,White House officials pushed Atlantas top federal prosecutor to resign before Georgias U.S. Senate runoffs because President Trump was upset he wasnt doing enough to investigate the presidents unprov… [+1032 chars],1,-0.6950000000000001,2021-01-09
2,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",The Wall Street Journal,"Fannie, Freddie tighten rules for condos in vacation locales - Fox Business","Getting a mortgage for a resort-area condo might become more difficult after Fannie Mae and Freddie Mac moved to tighten rules on buildings with many short-term rentals and hotel-like amenities, some Realtors and bankers say.",https://www.wsj.com/articles/fannie-freddie-tighten-rules-for-condos-in-vacation-locales-11610208000,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2020/04/0/0/Myrtle-Beach-istock1.jpg?ve=1&tl=1,2021-01-09T18:12:35Z,WASHINGTON -- Getting a mortgage for a resort-area condo might become more difficult after Fannie Mae and Freddie Mac moved to tighten rules on buildings with many short-term rentals and hotel-like a… [+5710 chars],1,-0.21005,2021-01-09
3,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Stella Yifan Xie,China’s New Rules Amp Up Pressure on U.S. Businesses - The Wall Street Journal,China’s New Rules Amp Up Pressure on U.S. Businesses  The Wall Street Journal,https://www.wsj.com/articles/chinas-new-rules-amp-up-pressure-on-u-s-businesses-11610205056,https://images.wsj.net/im-283136/social,2021-01-09T15:10:00Z,"HONG KONGBeijing hit back against recent U.S. restrictions targeting Chinese companies, saying it plans to ban Chinese firms and citizens from complying with foreign laws and sanctions it deems unjus… [+872 chars]",1,-0.296,2021-01-09
4,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",The Wall Street Journal,Companies examine Capitol riot for security lessons,"The siege is forcing organizations to pay closer attention to property and personnel risks, risk management experts say.",https://www.wsj.com/articles/companies-examine-capitol-riot-for-security-lessons-11610200808,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2021/01/0/0/AP21006685943540.jpg?ve=1&tl=1,2021-01-09T14:36:45Z,"Companies are adjusting security strategies and reviewing personnel policies in the wake of this week's deadly riot at the U.S. Capitol in Washington.
The most obvious takeaway from Wednesday's viol… [+3986 chars]",1,-0.42669999999999997,2021-01-09
5,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",,Video: Moment Pro-Trump Rioters Clashed With Police in Capitol Corridor,"New footage shows a moment when pro-Trump rioters stormed the U.S. Capitol on Wednesday. The violent day resulted in the deaths of five people, including a U.S. Capitol police officer. Image: Jon Farina via Storyful",https://www.wsj.com/video/video-moment-pro-trump-rioters-clashed-with-police-in-capitol-corridor/64F2C294-B1DF-4591-A636-059EA02A5B58.html,http://m.wsj.net/video/20210108/010821riotclash.vid/010821riotclash.vid_1280x720.jpg,2021-01-09T00:59:47Z,"Inside the Tear of God: A Unique House on Crete That Filters the Sun
9/7/2020For his home on Crete, Greeces largest island, George Kalykakis wanted something unique. He got a sculptural structure, n… [+117 chars]",1,-0.2997,2021-01-09
6,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",The Editorial Board,A Coup of Pelosi’s Own - The Wall Street Journal,A Coup of Pelosi’s Own  The Wall Street JournalView Full Coverage on Google News,https://www.wsj.com/articles/a-coup-of-pelosis-own-11610148740,https://images.wsj.net/im-282969/social,2021-01-08T23:32:00Z,We scoured the U.S. Constitution Friday afternoon and its definitely not there: the provision allowing the Speaker of the House of Representatives to intervene in the military chain of command to pro… [+1583 chars],1,0.0,2021-01-08
7,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Sabrina Siddiqui, Stephanie Armour",Biden Plans to Release Nearly All Available Covid-19 Vaccine Doses - The Wall Street Journal,"<ol><li>Biden Plans to Release Nearly All Available Covid-19 Vaccine Doses  The Wall Street Journal
</li><li>Exclusive: Biden will release nearly all available vaccine doses in break from Trump administration policy of holding back stock for second dose  CNN…",https://www.wsj.com/articles/biden-plans-to-release-all-available-covid-19-vaccine-doses-11610127971,https://images.wsj.net/im-282756/social,2021-01-08T19:16:00Z,"WASHINGTONPresident-elect Joe Biden will seek to release nearly all available coronavirus vaccine doses to accelerate distribution, his transition team said Friday, in a shift from the Trump administ… [+1399 chars]",1,0.0,2021-01-08
8,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Amara Omeokwe,Covid-19 Small-Business Loan Program PPP to Reopen Jan. 11 - The Wall Street Journal,Government extends efforts to preserve jobs and help firms weather pandemic and lockdowns,https://www.wsj.com/articles/covid-19-small-business-loan-program-ppp-to-reopen-jan-11-11610117483,https://images.wsj.net/im-281722/social,2021-01-08T17:15:00Z,"The Paycheck Protection Program of forgivable loans will reopen on Monday, the Trump administration said, as the federal government extends efforts to preserve jobs and help businesses weather the co… [+1335 chars]",1,0.24695,2021-01-08
9,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Rebecca Ballhaus, Andrew Restuccia","‘In a Dark Place’: Before Condemning Violence, Trump Spent Day Increasingly Isolated and Angry - The Wall Street Journal","‘In a Dark Place’: Before Condemning Violence, Trump Spent Day Increasingly Isolated and Angry  The Wall Street JournalView Full Coverage on Google News",https://www.wsj.com/articles/under-pressure-trump-condemns-violence-at-capitol-and-acknowledges-election-loss-11610069019,https://images.wsj.net/im-282428/social,2021-01-08T13:40:00Z,"WASHINGTONPresident Trump late Thursday called the storming of the U.S. Capitol by a mob of his supporters a heinous attack and said he would leave office peacefully Jan. 20, after facing bipartisan … [+9403 chars]",1,-0.8658,2021-01-08
