,source,author,title,description,url,urlToImage,publishedAt,content,count,sentiment,datetime
0,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Brian Spegele, Caitlin Ostroff",Bitcoin Miners Are Giving New Life to Old Fossil-Fuel Power Plants,"The lofty prices of cryptocurrencies have investors sinking money into electricity generation, risking a backlash",https://www.wsj.com/articles/bitcoin-miners-are-giving-new-life-to-old-fossil-fuel-power-plants-11621594803,https://images.wsj.net/im-340698/?size=1.5,2021-05-22T17:40:31Z,"Across America, older fossil-fuel power plants are shutting down in favor of renewable energy. But some are getting a new lease on lifeto mine bitcoin. In upstate New York, an idled coal plant has be… [+7241 chars]",1,0.01090000000000002,2021-05-22
1,"{'id': 'business-insider', 'name': 'Business Insider'}",Brittany Chang,"Elon Musk says he supports cryptocurrency in a 'battle' over fiat money, like government-backed coins and bills","Summary List PlacementTesla CEO Elon Musk tweeted his support for crypto over fiat money on Saturday, with Bitcoin prices rising on the sentiment.
""The true battle is between fiat and crypto,"" Musk tweeted in response to a Twitter user asking him what he thin…",https://www.businessinsider.com/elon-musk-announces-his-support-for-crypto-over-fiat-money-2021-5,https://i.insider.com/605e19978e71b30018519082?width=1200&format=jpeg,2021-05-22T17:22:58Z,"Tesla CEO Elon Musk tweeted his support for crypto over fiat money on Saturday, with Bitcoin prices rising on the sentiment.
""The true battle is between fiat and crypto,"" Musk tweeted in response to… [+1573 chars]",1,0.5264,2021-05-22
2,"{'id': 'business-insider', 'name': 'Business Insider'}",ndailey@insider.com (Natasha Dailey),How an unemployed day-trader burned by both GameStop and dogecoin ended up owning 20 billion units of a cryptocurrency known as ASS coin,"Day-trader Eric Hackney is a ""thrill-seeking amateur, goaded on by social media,"" Bloomberg reported.",https://www.businessinsider.com/day-trader-owns-20-billion-ass-coins-gamestop-dogecoin-bloomberg-2021-5,https://i.insider.com/60a7f767e25d05001880cebb?width=1200&format=jpeg,2021-05-22T12:35:00Z,"One millennial investor vowed to ""never again"" miss out on gains from hyped-up cryptocurrencies. One $500 investment later, he's now the proud owner of 20 billion units of Australian Safe Shepherd, a… [+2245 chars]",1,-0.3204,2021-05-22
3,"{'id': 'business-insider', 'name': 'Business Insider'}",ndailey@insider.com (Natasha Dailey),How an unemployed day-trader burned by both GameStop and dogecoin ended up owning 20 billion units of a cryptocurrency known as ASS coin,"Day-trader Eric Hackney is a ""thrill-seeking amateur, goaded on by social media,"" Bloomberg reported.",https://markets.businessinsider.com/currencies/news/day-trader-owns-20-billion-ass-coins-gamestop-dogecoin-bloomberg-2021-5-1030456785,https://images2.markets.businessinsider.com/607db61344f45400192077b7?format=jpeg,2021-05-22T12:35:00Z,"Dogecoin is a 'meme' cryptocurrency, seemingly created as a joke
Yuriko Nakao/Getty
One millennial investor vowed to ""never again"" miss out on gains from hyped-up cryptocurrencies. One $500 investm… [+2333 chars]",1,-0.3204,2021-05-22
4,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Tiago Ramos Alfaro,Musk Tweets He Supports Crypto in Battle Against Fiat Currencies,,https://www.bloomberg.com/news/articles/2021-05-22/musk-tweets-he-supports-crypto-in-battle-against-fiat-currencies,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i57ubeez71hA/v0/1200x800.jpg,2021-05-22T11:44:46Z,"Elon Musk is again tweeting about technology and cryptocurrencies, and this time hes clear on where his support is at.
The true battle is between fiat &amp; crypto. On balance, I support the latter.… [+1341 chars]",1,-0.0129,2021-05-22
5,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Caitlin Ostroff, James T. Areddy","Bitcoin, Ether Prices Continue Falling After China Spurs Regulatory Fears","Cryptocurrency prices extend selloff after China orders crackdown on mining, trading",https://www.wsj.com/articles/bitcoin-ether-prices-continue-falling-on-regulatory-fears-11621611655,https://images.wsj.net/im-342034/social,2021-05-21T21:50:00Z,"Cryptocurrency prices dropped Friday, extending the weeks selloff, after new comments from the Chinese government spurred fears of a regulatory clampdown in a country where most bitcoins are created.… [+7201 chars]",1,-0.17439999999999997,2021-05-21
6,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Jonathan Tirone,Crypto Blockchain Chip Stamp Unveiled by Austrian Post With $12 Moby Dick Stamp,Austria’s postal service is tapping rising investor interest in cryptocurrency assets with a new stamp it says will be the first to carry an embedded chip that stores information on a blockchain.,https://www.bloomberg.com/news/articles/2021-05-21/austrian-post-hunts-crypto-whales-with-12-moby-dick-stamp,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iENwBUAR3wJI/v0/1200x728.png,2021-05-21T15:42:21Z,"Austrias postal service is tapping rising investor interest in cryptocurrency assets with a new stamp it says will be the first to carry an embedded chip that stores information on a blockchain.
Oes… [+1036 chars]",1,0.030649999999999955,2021-05-21
7,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Joe Weisenthal, Tracy Alloway","TRANSCRIPT: Aaron Lammer On Yield Farming, DeFi, And Ethereum","On this episode of Odd Lots, we speak with Aaron Lammer, the host of the Exit Scam podcast and an avid DeFi trader. He talks about his trading on Uniswap, the concept of yield farming, and much more. Transcripts have been lightly edited for clarity.",https://www.bloomberg.com/news/articles/2021-05-21/transcript-aaron-lammer-on-yield-farming-defi-and-ethereum,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iSEuZNkfTR40/v0/1200x900.jpg,2021-05-21T14:51:42Z,"On this episode of Odd Lots, we speak with Aaron Lammer, the host of the Exit Scam podcast and an avid DeFi trader. He talks about his trading on Uniswap, the concept of yield farming, and much more.… [+59005 chars]",1,-0.1366,2021-05-21
8,"{'id': 'business-insider', 'name': 'Business Insider'}",Emily Graffeo,"The recent crypto sell-off was a healthy capitulation and hasn't undermined the bull case for blockchain technology, Jefferies says","Summary List PlacementThe cryptocurrency sell-off earlier this week that saw bitcoin plunge as low as $30,000 hasn't undermined the bull case for crypto assets and blockchain technology, Jefferies'  global head of equity strategy said. ""This looks like health…",https://www.businessinsider.com/crypto-bitcoin-plunge-selloff-outlook-bullish-blockchain-rally-healthy-jefferies-2021-5,https://i.insider.com/60a7b673e25d05001880cd05?width=1200&format=jpeg,2021-05-21T14:30:56Z,"The cryptocurrency sell-off earlier this week that saw bitcoin plunge as low as $30,000 hasn't undermined the bull case for crypto assets and blockchain technology, Jefferies'  global head of equity … [+1802 chars]",1,0.54145,2021-05-21
9,"{'id': 'business-insider', 'name': 'Business Insider'}",egraffeo@businessinsider.com (Emily Graffeo),"The recent crypto sell-off was a healthy capitulation and hasn't undermined the bull case for blockchain technology, Jefferies says","Jefferies' global head of equity strategy is still bullish on crypto, though he added there is room for debate about which assets should be owned.",https://markets.businessinsider.com/currencies/news/crypto-bitcoin-plunge-selloff-outlook-bullish-blockchain-rally-healthy-jefferies-2021-5-1030455505,https://images2.markets.businessinsider.com/60a7b673f27b4c0019445d25?format=jpeg,2021-05-21T14:30:56Z,"Andriy Onufriyenko/Getty Images
The cryptocurrency sell-off earlier this week that saw bitcoin plunge as low as $30,000 hasn't undermined the bull case for crypto assets and blockchain technology, J… [+1836 chars]",1,0.38260000000000005,2021-05-21
